gene,cls,label,smiles,ligand_iptm,binding_confidence,optimization_score,job_id
PIK3C3,active,SAR405,CC1CCN(C(=O)c2cnc(N3CCOCC3)nc2)CC1Nc1ncc(C(F)(F)F)s1,0.9778508543968201,0.6920148134231567,0.3219391405582428,sab_pred_WXTTrHibVBK5zCd7AbPL
PIK3C3,active,VPS34-IN1,CCN(CC)Cc1ccc(-c2cc3c(N4CCOCC4)nc(N)nc3n2C)cc1,0.9551295042037964,0.24898658692836761,0.21114574372768402,sab_pred_lhM53iVJ3zf0nmRX1p1j
PIK3C3,decoy,aspirin,CC(=O)Oc1ccccc1C(=O)O,0.8920068740844727,0.3848324716091156,0.0,sab_pred_VYeYxbleNAqJV0YJSItB
PIK3C3,decoy,propranolol,CC(C)NCC(O)COc1cccc2ccccc12,0.8202633261680603,0.10394696146249771,0.0316164493560791,sab_pred_ZNEvHRZdAZ4Fuk8qdtXE
PIK3C3,decoy,caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,0.9715531468391418,0.24624767899513245,0.0,sab_pred_Dwe0rjEdVbRnNOQgZVYs
SIK2,active,HG-9-91-01_analog,COc1cc2ncc(C#N)c(Nc3ccc(Cl)cc3)c2cc1OC,0.9801289439201355,0.6102879047393799,0.2505100965499878,sab_pred_3JECKbGF3wqAr29ygiRN
SIK2,active,staurosporine,O=C1c2c(c3ccccc3n2C2OC(C)(NC)CC2)-c2c1c1ccccc1n2C,0.9480156302452087,0.47438621520996094,0.15032164752483368,sab_pred_gB3lGeqFX3K2iAN00fMc
SIK2,decoy,ibuprofen,CC(C)Cc1ccc(C(C)C(=O)O)cc1,0.6808425188064575,0.07860714197158813,0.02329547144472599,sab_pred_UO9kwIegqWvQlLbrICEv
SIK2,decoy,acetaminophen,CC(=O)Nc1ccc(O)cc1,0.28928524255752563,0.30961984395980835,0.19633623957633972,sab_pred_x0csFFAme3zukMepPaY6
SIK2,decoy,diphenhydramine,CN(C)CCOC(c1ccccc1)c1ccccc1,0.7425879836082458,0.06498929113149643,0.09238441288471222,sab_pred_DAVAUDGykQt4r7TFA1rx
GPR55,active,CID16020046,O=C(O)c1ccccc1NC(=O)c1cc(-c2ccccc2)n(-c2ccccc2)n1,0.9709769487380981,0.7143733501434326,0.19291268289089203,sab_pred_aheVZTji8ppYNLqDjKIg
GPR55,active,ML193,O=C(Cc1ccccc1)Nc1nc2ccccc2s1,0.9585452079772949,0.29557400941848755,0.0,sab_pred_GxL1kBnhoJ5NiuL7dLtx
GPR55,decoy,metformin,CN(C)C(=N)NC(=N)N,0.9674319624900818,0.5889010429382324,0.21092729270458221,sab_pred_E69AgYnA9hifTPFl2TuB
GPR55,decoy,glucose,OCC1OC(O)C(O)C(O)C1O,0.8003867268562317,0.30663567781448364,0.05609924718737602,sab_pred_nCzd5ibFRKEYaU08ILrM
GPR55,decoy,nicotine,CN1CCCC1c1cccnc1,0.929248571395874,0.08344106376171112,0.10672085732221603,sab_pred_JbNrhX00sp8Mqwbbdwg6
