gene,true_dir,our_call,our_correct,source
TNF,antagonize,antagonize,1,original
IL6R,antagonize,antagonize,1,original
IL4R,antagonize,agonize,0,original
IL13,antagonize,antagonize,1,original
IL5,antagonize,agonize,0,original
IL5RA,antagonize,antagonize,1,original
IL17A,antagonize,antagonize,1,original
IL17RA,antagonize,antagonize,1,original
IL23A,antagonize,antagonize,1,original
IL1B,antagonize,agonize,0,original
IL1R1,antagonize,antagonize,1,original
IL2RA,antagonize,antagonize,1,original
JAK2,antagonize,antagonize,1,original
TYK2,antagonize,antagonize,1,original
STAT3,antagonize,antagonize,1,original
STAT1,antagonize,antagonize,1,original
BTK,antagonize,agonize,0,original
SYK,antagonize,antagonize,1,original
ITK,antagonize,antagonize,1,original
LCK,antagonize,antagonize,1,original
ZAP70,antagonize,antagonize,1,original
PRKCQ,antagonize,antagonize,1,original
MALT1,antagonize,antagonize,1,original
CARD11,antagonize,agonize,0,original
IRAK4,antagonize,antagonize,1,original
RIPK1,antagonize,agonize,0,original
RIPK2,antagonize,agonize,0,original
MTOR,antagonize,agonize,0,original
PIK3CD,antagonize,antagonize,1,original
PIK3CG,antagonize,antagonize,1,original
MAPK14,antagonize,agonize,0,original
IKBKB,antagonize,antagonize,1,original
CHUK,antagonize,antagonize,1,original
NFKB1,antagonize,antagonize,1,original
RORC,antagonize,antagonize,1,original
S1PR1,antagonize,agonize,0,original
ITGA4,antagonize,agonize,0,original
ITGB7,antagonize,antagonize,1,original
ITGAL,antagonize,agonize,0,original
CD40LG,antagonize,antagonize,1,original
CD40,antagonize,antagonize,1,original
MS4A1,antagonize,antagonize,1,original
CD19,antagonize,antagonize,1,original
CD52,antagonize,antagonize,1,original
TNFSF13B,antagonize,antagonize,1,original
IFNAR1,antagonize,agonize,0,original
IL2RB,antagonize,agonize,0,original
IL7R,antagonize,agonize,0,original
CCR9,antagonize,agonize,0,original
CXCR4,antagonize,agonize,0,original
DHODH,antagonize,agonize,0,original
IMPDH1,antagonize,antagonize,1,original
IMPDH2,antagonize,agonize,0,original
AHR,antagonize,agonize,0,original
CD2,antagonize,antagonize,1,original
IL21R,antagonize,antagonize,1,original
TSLP,antagonize,agonize,0,original
CTLA4,agonize,agonize,1,original
IL10,agonize,agonize,1,original
PDCD1,agonize,antagonize,0,original
NR3C1,agonize,antagonize,0,original
S1PR5,agonize,agonize,1,original
FCGR2B,agonize,antagonize,0,original
ABAT,antagonize,antagonize,1,chembl
ADH5,antagonize,antagonize,1,chembl
AKR1B1,antagonize,agonize,0,chembl
ATP1B3,antagonize,agonize,0,chembl
BRD4,antagonize,agonize,0,chembl
CCR2,antagonize,antagonize,1,chembl
CD3D,antagonize,antagonize,1,chembl
CD3E,antagonize,antagonize,1,chembl
CD3G,antagonize,antagonize,1,chembl
CDK2,antagonize,antagonize,1,chembl
CDK4,antagonize,antagonize,1,chembl
CPT2,antagonize,antagonize,1,chembl
CRBN,antagonize,agonize,0,chembl
CTSC,antagonize,antagonize,1,chembl
EML4,antagonize,antagonize,1,chembl
F5,antagonize,antagonize,1,chembl
HDAC5,antagonize,antagonize,1,chembl
HDAC9,antagonize,antagonize,1,chembl
HSD11B1,antagonize,antagonize,1,chembl
HSPA8,antagonize,agonize,0,chembl
IFNG,antagonize,antagonize,1,chembl
IL10RB,agonize,antagonize,0,chembl
IL15RA,agonize,antagonize,0,chembl
INPP5D,agonize,agonize,1,chembl
KCNC4,antagonize,antagonize,1,chembl
KRAS,antagonize,antagonize,1,chembl
LAG3,antagonize,agonize,0,chembl
MAP3K9,antagonize,antagonize,1,chembl
MAPK11,antagonize,antagonize,1,chembl
MDM2,antagonize,antagonize,1,chembl
MEN1,antagonize,antagonize,1,chembl
NDUFA12,antagonize,antagonize,1,chembl
NDUFA3,antagonize,antagonize,1,chembl
NDUFA5,antagonize,antagonize,1,chembl
NDUFB1,antagonize,antagonize,1,chembl
NDUFB3,antagonize,agonize,0,chembl
NDUFB9,antagonize,agonize,0,chembl
NDUFC2,antagonize,antagonize,1,chembl
NDUFS2,antagonize,antagonize,1,chembl
NDUFS8,antagonize,antagonize,1,chembl
P4HTM,antagonize,antagonize,1,chembl
PARP2,antagonize,agonize,0,chembl
PDE6B,antagonize,antagonize,1,chembl
PDE6D,antagonize,antagonize,1,chembl
PDE6G,antagonize,antagonize,1,chembl
PDE7B,antagonize,antagonize,1,chembl
PIK3R2,antagonize,antagonize,1,chembl
PPAT,antagonize,antagonize,1,chembl
PPP3CA,antagonize,antagonize,1,chembl
PSMB9,antagonize,agonize,0,chembl
PTGIR,agonize,antagonize,0,chembl
RELA,antagonize,antagonize,1,chembl
ROCK2,antagonize,antagonize,1,chembl
SLAMF7,antagonize,agonize,0,chembl
SOAT1,antagonize,antagonize,1,chembl
SRC,antagonize,agonize,0,chembl
SRD5A1,antagonize,agonize,0,chembl
TRAF3IP2,antagonize,antagonize,1,chembl
TUBA1C,antagonize,antagonize,1,chembl
TUBB2A,antagonize,agonize,0,chembl
TXK,antagonize,antagonize,1,chembl
VAMP2,antagonize,antagonize,1,chembl
VEGFB,antagonize,antagonize,1,chembl
VKORC1,antagonize,antagonize,1,chembl
YES1,antagonize,antagonize,1,chembl
